Site,S1_M1,S1_M2,S1_Total,S2_M1,S2_M2,S2_Total,Total
Total,88,33,121,91,25,116,237
124031,1,1,2,1,1,2,4
130102,1,1,2,1,NA,1,3
134101,1,1,2,1,NA,1,3
146764,1,1,2,1,NA,1,3
150732,1,1,2,1,1,2,4
150801,1,1,2,1,1,2,4
159408,1,1,2,1,1,2,4
207746,1,1,2,1,1,2,4
248762,1,1,2,1,1,2,4
252447,1,1,2,1,1,2,4
268355,1,1,2,1,1,2,4
301004,1,1,2,1,1,2,4
357256,1,1,2,1,1,2,4
372502,1,1,2,1,NA,1,3
378882,1,1,2,1,1,2,4
601725,1,1,2,1,1,2,4
652934,1,1,2,1,1,2,4
700226,1,1,2,1,1,2,4
HOBO-032,1,1,2,1,1,2,4
HOBO-055,1,1,2,1,NA,1,3
HOBO-063,1,1,2,1,1,2,4
HOBO-211,1,1,2,1,NA,1,3
HOBO-270,1,1,2,1,1,2,4
HOBO-304,1,1,2,1,1,2,4
HOBO-310,1,1,2,1,1,2,4
HOBO-315,1,1,2,1,NA,1,3
HOBO-333,1,1,2,1,1,2,4
HOBO-335,1,1,2,1,1,2,4
HOBO-357,1,1,2,NA,NA,NA,2
SM-01,1,1,2,1,NA,1,3
SM-06,1,1,2,1,1,2,4
SM-09,1,1,2,1,1,2,4
76361,1,NA,1,1,NA,1,2
81090,1,NA,1,1,NA,1,2
123545,1,NA,1,1,NA,1,2
128101,1,NA,1,1,NA,1,2
129276,1,NA,1,1,NA,1,2
130101,1,NA,1,1,NA,1,2
131067,1,NA,1,1,NA,1,2
135431,1,NA,1,1,NA,1,2
150802,1,NA,1,1,NA,1,2
155365,1,NA,1,1,NA,1,2
161191,1,NA,1,1,NA,1,2
179439,1,NA,1,1,NA,1,2
217961,1,NA,1,1,NA,1,2
257002,1,NA,1,1,NA,1,2
258173,1,NA,1,1,NA,1,2
268413,1,NA,1,1,NA,1,2
279822,1,NA,1,1,NA,1,2
280500,1,NA,1,1,NA,1,2
286789,1,NA,1,1,NA,1,2
287338,1,NA,1,1,NA,1,2
292528,1,NA,1,1,NA,1,2
307043,1,NA,1,1,NA,1,2
361840,1,NA,1,1,NA,1,2
364070,1,NA,1,1,NA,1,2
367193,1,NA,1,1,NA,1,2
400605,1,NA,1,1,NA,1,2
544292,1,NA,1,1,NA,1,2
594580,1,NA,1,1,NA,1,2
622337,1,NA,1,1,NA,1,2
642613,1,NA,1,1,NA,1,2
647830,1,NA,1,1,NA,1,2
650846,1,NA,1,1,NA,1,2
700239,1,NA,1,1,NA,1,2
HOBO-014,1,NA,1,1,NA,1,2
HOBO-036,NA,1,1,NA,1,1,2
HOBO-053,1,NA,1,1,NA,1,2
HOBO-060,1,NA,1,1,NA,1,2
HOBO-216,1,NA,1,1,NA,1,2
HOBO-233,1,NA,1,1,NA,1,2
HOBO-242,1,NA,1,1,NA,1,2
HOBO-265,1,NA,1,1,NA,1,2
HOBO-273,1,NA,1,1,NA,1,2
HOBO-308,1,NA,1,1,NA,1,2
HOBO-312,1,NA,1,1,NA,1,2
HOBO-331,1,NA,1,1,NA,1,2
HOBO-341,1,NA,1,1,NA,1,2
HOBO-345,1,NA,1,1,NA,1,2
HOBO-347,1,NA,1,1,1,2,3
HOBO-349,1,NA,1,1,NA,1,2
HOBO-351,1,NA,1,NA,NA,NA,1
HOBO-353,1,NA,1,1,NA,1,2
SM-02,1,NA,1,1,NA,1,2
SM-03,1,NA,1,1,NA,1,2
SM-04,1,NA,1,1,NA,1,2
SM-07,1,NA,1,1,NA,1,2
SM-08,1,NA,1,1,NA,1,2
SM-PG,1,NA,1,1,NA,1,2
335225,NA,NA,NA,1,NA,1,1
593665,NA,NA,NA,1,NA,1,1
HOBO-016,NA,NA,NA,1,NA,1,1
HOBO-317,NA,NA,NA,1,NA,1,1
SM-05,NA,NA,NA,1,NA,1,1